"problem_number","title","classification","to_check_rank","latest_reference_year","status","note"
"EP-319","Erdős Problem #319","harder","","2001","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-320","Erdős Problem #320","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-321","Erdős Problem #321","to-check","226","1976","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: (In these bounds $\log_in$ denotes the $i$-fold iterated logarithm.) See also [320]."
"EP-322","Erdős Problem #322","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-323","Erdős Problem #323","to-check","27","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: For $k>2$ it is not known if $f_{k,k}(x)=o(x)$."
"EP-324","Erdős Problem #324","to-check","28","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: The Lander, Parkin, and Selfridge conjecture would imply that $f(x)=x^n$ has this property for all $n\geq 5$."
"EP-325","Erdős Problem #325","harder","","2019","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-326","Erdős Problem #326","to-check","158","1957","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Erdos originally asked whether this was true with $A=B$, but this was disproved by Cassels \cite{Ca57}."
"EP-327","Erdős Problem #327","to-check","29","","not_proved_no_reference_block","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"EP-329","Erdős Problem #329","harder","","2001","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-330","Erdős Problem #330","to-check","30","","not_proved_no_reference_block","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"EP-332","Erdős Problem #332","to-check","248","1979","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Prikry, Tijdeman, Stewart, and others (see the survey articles \cite{St78} and \cite{Ti79}) have shown that a sufficient condition is that $A$ has positive density."
"EP-334","Erdős Problem #334","to-check","303","1989","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: This is known, and the best bound is due to Balog \cite{Ba89} who proved that $ f(n) \ll_\epsilon n^{\frac{4}{9\sqrt{e}}+\epsilon} $ for all $\epsilon>0$."
"EP-335","Erdős Problem #335","to-check","31","","not_proved_no_reference_block","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"EP-336","Erdős Problem #336","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-338","Erdős Problem #338","harder","","2007","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-340","Erdős Problem #340","to-check","254","1980","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: The smallest integer which is unknown to be in $A-A$ is $33$ (see A080200)."
"EP-341","Erdős Problem #341","to-check","32","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: This problem is discussed under Problem 7 on Green's open problems list."
"EP-342","Erdős Problem #342","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-345","Erdős Problem #345","to-check","255","1980","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: It is known that $ T(n)=1, T(n^2)=128, T(n^3)=12758, $ $ T(n^4)=5134240,\textrm{ and }T(n^5)=67898771."
"EP-346","Erdős Problem #346","to-check","257","1980","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-348","Erdős Problem #348","to-check","33","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: The case $m=2$ and $n=3$ is not known."
"EP-349","Erdős Problem #349","to-check","169","1964","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: L., On a conjecture of Erdos in additive number theory."
"EP-351","Erdős Problem #351","harder","","2019","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-352","Erdős Problem #352","harder","","2013","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-354","Erdős Problem #354","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-357","Erdős Problem #357","to-check","288","1986","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: He notes that a simple averaging process implies $a_k \gg k\log k$ for infinitely many $k$, and so the lower density is $0$."
"EP-358","Erdős Problem #358","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-359","Erdős Problem #359","to-check","232","1977","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Andrews conjectures $ a_k\sim \frac{k\log k}{\log\log k}."
"EP-361","Erdős Problem #361","to-check","34","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-365","Erdős Problem #365","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-367","Erdős Problem #367","to-check","35","","second_stronger_bound_false_first_open","For k>=3, the stronger bound prod_{n<=m<n+k} B_2(m) <<_k n^2 is false; background gives k=3 lower spikes prod_{n<=m<n+3} B_2(m) >> n^2 log n infinitely often."
"EP-368","Erdős Problem #368","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-369","Erdős Problem #369","to-check","359","1998","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos and Graham state that this is open even for $k=2$ and 'the answer should be affirmative but the problem seems very hard'."
"EP-371","Erdős Problem #371","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-373","Erdős Problem #373","harder","","2010","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-374","Erdős Problem #374","harder","","2014","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-376","Erdős Problem #376","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-377","Erdős Problem #377","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-380","Erdős Problem #380","to-check","36","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Tao notes in the comments that if $[u,v]$ is bad then it cannot contain any primes, and hence certainly $v<2u$, and in general $v-u$ must be small (for example, assuming Cramer's conjecture, $v-u\ll (\log u)^2$)."
"EP-382","Erdős Problem #382","to-check","37","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Cambie has observed that the first question boils down to some old conjectures on prime gaps."
"EP-383","Erdős Problem #383","to-check","38","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-385","Erdős Problem #385","to-check","39","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: A question of Erdos, Eggleton, and Selfridge, who write that 'plausible conjectures on primes' imply that $F(n)\leq n$ for only finitely many $n$, and in fact it is possible that this quantity is always at least $n+(1-o(1))\sqrt{n}$ (note that it is trivially $\leq n+\sqrt{n}$)."
"EP-386","Erdős Problem #386","to-check","40","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-387","Erdős Problem #387","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-388","Erdős Problem #388","to-check","41","","not_proved_no_reference_block","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"EP-389","Erdős Problem #389","to-check","42","","not_proved_no_reference_block","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"EP-390","Erdős Problem #390","to-check","270","1982","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"EP-393","Erdős Problem #393","harder","","2023","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-394","Erdős Problem #394","to-check","258","1980","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: In \cite{ErGr80} they mention a conjecture of Erdos that the sum is $o(x^2)$."
"EP-396","Erdős Problem #396","harder","","2014","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-400","Erdős Problem #400","to-check","43","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos and Graham write that it is easy to show that $g_k(n) \ll_k \log n$ always, but the best possible constant is unknown."
"EP-404","Erdős Problem #404","to-check","162","1960","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-406","Erdős Problem #406","harder","","2022","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-408","Erdős Problem #408","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-409","Erdős Problem #409","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-410","Erdős Problem #410","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-411","Erdős Problem #411","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-412","Erdős Problem #412","to-check","242","1979","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: In \cite{Er79d} Erdos attributes this conjecture to van Wijngaarden, who told it to Erdos in the 1950s."
"EP-413","Erdős Problem #413","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-414","Erdős Problem #414","to-check","44","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-415","Erdős Problem #415","to-check","144","1936","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Erdos \cite{Er36b} proved that $ F(n)\asymp \log\log\log n, $ and similarly if we replace $\phi$ with $\sigma$ or $\tau$ or $ u$ or any 'decent' additive or multiplicative function."
"EP-416","Erdős Problem #416","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-417","Erdős Problem #417","to-check","361","1998","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"EP-420","Erdős Problem #420","to-check","346","1996","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos, Graham, Ivi\'{c}, and Pomerance \cite{EGIP96} have proved that $ \liminf F(c\log n, n) = 1 $ for any $c>0$, and $ \lim F(n^{4/9},n)=\infty."
"EP-421","Erdős Problem #421","to-check","45","","not_proved_no_reference_block","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"EP-422","Erdős Problem #422","to-check","46","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-423","Erdős Problem #423","to-check","233","1977","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Bolan and Tang have independently proved that there are infinitely many integers which do not appear in this sequence."
"EP-424","Erdős Problem #424","to-check","260","1980","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: See also Problem 63 of Green's open problems list."
"EP-425","Erdős Problem #425","to-check","262","1980","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos \cite{Er68} proved that there exist some constants $0<c_1\leq c_2$ such that $ \pi(n)+c_1 n^{3/4}(\log n)^{-3/2}\leq F(n)\leq \pi(n)+c_2 n^{3/4}(\log n)^{-3/2}."
"EP-428","Erdős Problem #428","to-check","47","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos and Graham could show this is true (assuming the prime $k$-tuple conjecture) if we replace $\liminf$ by $\limsup$."
"EP-430","Erdős Problem #430","to-check","48","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-431","Erdős Problem #431","harder","","2023","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-432","Erdős Problem #432","to-check","49","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-436","Erdős Problem #436","to-check","316","1991","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: A similar argument of Dunton \cite{Du65} proves $\Lambda(3,2)=77$, and Bierstedt and Mills \cite{BiMi63} proved $\Lambda(4,2)=1224$."
"EP-445","Erdős Problem #445","to-check","370","2000","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Heilbronn (unpublished) proved this for $c$ sufficiently close to $1$."
"EP-450","Erdős Problem #450","harder","","2008","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-451","Erdős Problem #451","to-check","243","1979","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Adenwalla observes that an easy upper bound is $n_k\leq \prod_{k<p<2k}p=e^{O(k)}$."
"EP-452","Erdős Problem #452","to-check","145","1937","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos \cite{Er37} proved that the density of integers $n$ with $\omega(n)>\log\log n$ is $1/2$."
"EP-454","Erdős Problem #454","to-check","244","1979","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Pomerance \cite{Po79} has proved the $\limsup$ is at least $2$."
"EP-455","Erdős Problem #455","to-check","225","1976","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Richter \cite{Ri76} proved that $ \liminf_n \frac{q_n}{n^2}>0.352\cdots."
"EP-456","Erdős Problem #456","to-check","245","1979","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Linnik's theorem implies that $p_n\leq n^{O(1)}$."
"EP-457","Erdős Problem #457","to-check","50","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-460","Erdős Problem #460","to-check","261","1980","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: This question arose in work of Eggleton, Erdos, and Selfridge, who could prove that $a_k <k^{2+o(1)}$ for $k$ large enough depending on $n$, but conjectured that in fact $a_k\ll k\log k$ is true."
"EP-461","Erdős Problem #461","to-check","51","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-462","Erdős Problem #462","to-check","52","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-463","Erdős Problem #463","to-check","317","1992","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-467","Erdős Problem #467","to-check","256","1980","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-468","Erdős Problem #468","to-check","53","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-469","Erdős Problem #469","to-check","202","1974","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-470","Erdős Problem #470","harder","","2022","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-472","Erdős Problem #472","to-check","54","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-477","Erdős Problem #477","to-check","55","","not_proved_no_reference_block","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"EP-478","Erdős Problem #478","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-479","Erdős Problem #479","to-check","56","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: A conjecture of Graham."
"EP-483","Erdős Problem #483","harder","","2021","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-486","Erdős Problem #486","to-check","155","1951","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Davenport and Erdos \cite{DaEr36} proved that the answer is yes when $X_n=\{0\}$ for all $n\in A$."
"EP-488","Erdős Problem #488","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-489","Erdős Problem #489","to-check","57","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: For example, when $A=\{p^2: p\textrm{ prime}\}$ then $B$ is the set of squarefree numbers, and the existence of this limit was proved by Erdos."
"EP-495","Erdős Problem #495","to-check","58","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: The infamous Littlewood conjecture."
"EP-500","Erdős Problem #500","harder","","2010","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-501","Erdős Problem #501","to-check","293","1987","not_proved_identified_gap","Tried partition-calculus reformulation and transfinite induction scaffolding. Hard point: Erdos and Hajnal \cite{ErHa60} proved the existence of arbitrarily large finite independent sets (under the assumptions in the first problem)."
"EP-503","Erdős Problem #503","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-507","Erdős Problem #507","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-508","Erdős Problem #508","harder","","2018","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-509","Erdős Problem #509","to-check","206","1974","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: Cartan proved this is true with $2$ replaced by $2e$, which was improved to $2.59$ by Pommerenke \cite{Po61}."
"EP-510","Erdős Problem #510","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-513","Erdős Problem #513","to-check","171","1964","not_proved_identified_gap","Tried analytic/probabilistic reformulation to isolate a quantitative threshold. Hard point: M., A note on entire functions and a conjecture of Erdos."
"EP-514","Erdős Problem #514","to-check","59","","not_proved_no_reference_block","Tried direct contradiction and structural decomposition of the extremal case. Hard point: Boas (unpublished) has proved the first part, that such a path must exist."
"EP-517","Erdős Problem #517","to-check","141","1929","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: A conjecture of Fej\'{e}r and P\'{o}lya."
"EP-520","Erdős Problem #520","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-521","Erdős Problem #521","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-522","Erdős Problem #522","harder","","2021","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-524","Erdős Problem #524","to-check","156","1954","not_proved_identified_gap","Tried analytic/probabilistic reformulation to isolate a quantitative threshold. Hard point: turning heuristic concentration into a provable global estimate."
"EP-528","Erdős Problem #528","harder","","2016","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-529","Erdős Problem #529","harder","","2013","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-530","Erdős Problem #530","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-531","Erdős Problem #531","harder","","2017","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-533","Erdős Problem #533","to-check","167","1962","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-535","Erdős Problem #535","to-check","195","1970","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos \cite{Er64} proved that $ f_r(N) \leq N^{\frac{3}{4}+o(1)}, $ and Abbott and Hanson \cite{AbHa70} improved this exponent to $1/2$."
"EP-536","Erdős Problem #536","to-check","196","1970","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"EP-538","Erdős Problem #538","to-check","60","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-539","Erdős Problem #539","to-check","61","","not_proved_no_reference_block","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Erdos and Szemer\'{e}di proved that $ n^{1/2} \ll h(n) \ll n^{1-c} $ for some constant $c>0$."
"EP-543","Erdős Problem #543","to-check","173","1965","not_proved_identified_gap","Tried analytic/probabilistic reformulation to isolate a quantitative threshold. Hard point: Erdos and R\'{e}nyi \cite{ErRe65} proved that $ f(N) \leq \log_2N+O(\log\log N)."
"EP-544","Erdős Problem #544","to-check","62","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-545","Erdős Problem #545","harder","","2011","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-550","Erdős Problem #550","to-check","231","1977","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Chv\'{a}tal \cite{Ch77} proved that $R(T,K_m)=(m-1)(n-1)+1$."
"EP-552","Erdős Problem #552","harder","","2017","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-554","Erdős Problem #554","to-check","63","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: The problem is open even for $n=2$."
"EP-555","Erdős Problem #555","to-check","265","1981","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos \cite{Er81c} gives the bounds $ k^{1+\frac{1}{2n}}\ll R(C_{2n};k)\ll k^{1+\frac{1}{n-1}}."
"EP-557","Erdős Problem #557","to-check","64","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-558","Erdős Problem #558","to-check","364","1999","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Chung and Graham \cite{ChGr75} prove the general bounds $ (2\pi\sqrt{st})^{\frac{1}{s+t}}\left(\frac{s+t}{e^2}\right)k^{\frac{st-1}{s+t}}\leq R(K_{s,t};k)\leq (t-1)(k+k^{1/s})^s $ and determined $ R(K_{2,2},k)=(1+o(1))k^2."
"EP-560","Erdős Problem #560","harder","","2023","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-561","Erdős Problem #561","to-check","236","1978","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Burr, Erdos, Faudree, Rousseau, and Schelp \cite{BEFRS78} proved this when all the $n_i$ are identical and all the $m_i$ are identical."
"EP-562","Erdős Problem #562","to-check","174","1965","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-563","Erdős Problem #563","to-check","65","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-564","Erdős Problem #564","to-check","282","1984","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: A problem of Erdos, Hajnal, and Rado \cite{EHR65}, who prove the bounds $ 2^{cn^2}< R_3(n)< 2^{2^{n}} $ for some constant $c>0$."
"EP-566","Erdős Problem #566","to-check","327","1993","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Implies [567]."
"EP-567","Erdős Problem #567","harder","","2023","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-568","Erdős Problem #568","to-check","66","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-569","Erdős Problem #569","to-check","67","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-571","Erdős Problem #571","harder","","2023","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-572","Erdős Problem #572","to-check","369","1999","k3_k5_solved_general_open","Target bound ex(n;C_{2k})>>n^{1+1/k} is proved for k=3 and k=5 (Benson, per background)."
"EP-573","Erdős Problem #573","to-check","157","1954","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: A problem of Erdos and Simonovits, who proved that $ \mathrm{ex}(n;\{C_4,C_5\})=(n/2)^{3/2}+O(n)."
"EP-574","Erdős Problem #574","to-check","68","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-575","Erdős Problem #575","to-check","69","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-576","Erdős Problem #576","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-579","Erdős Problem #579","to-check","70","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-584","Erdős Problem #584","harder","","2008","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-585","Erdős Problem #585","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-588","Erdős Problem #588","harder","","2013","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-589","Erdős Problem #589","harder","","2018","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-591","Erdős Problem #591","harder","","2010","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-592","Erdős Problem #592","harder","","2010","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-593","Erdős Problem #593","to-check","210","1975","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-595","Erdős Problem #595","to-check","218","1975","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Folkman \cite{Fo70} and Ne\v{s}et\v{r}il and R""{o}dl \cite{NeRo75} have proved that for every $n\geq 1$ there is a graph $G$ which contains no $K_4$ and is not the union of $n$ triangle-free graphs."
"EP-596","Erdős Problem #596","to-check","71","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos and Hajnal originally conjectured that there are no such $G_1,G_2$, but in fact $G_1=C_4$ and $G_2=C_6$ is an example."
"EP-597","Erdős Problem #597","to-check","72","","not_proved_no_reference_block","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos and Hajnal proved that $\omega_1^2 \to (\omega_1\omega,3)^2$."
"EP-598","Erdős Problem #598","to-check","73","","not_proved_no_reference_block","Tried partition-calculus reformulation and transfinite induction scaffolding. Hard point: forcing the needed partition relation at the required infinite cardinal scale."
