"to_check_rank","problem_number","title","proof_attempt_status","proof_attempt_domain","latest_reference_year","proof_attempt_concise"
"133","EP-949","Erdős Problem #949","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"134","EP-950","Erdős Problem #950","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: $ The existence of some $c>0$ such that there are $\gg n^c/\log n$ many primes in $[n,n+n^c]$ implies that $\liminf f(n)>0$."
"135","EP-951","Erdős Problem #951","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Beurling conjectured that if the number of reals in $[1,x]$ of the form $\prod a_i^{k_i}$ is $x+o(\log x)$ then the $a_i$ must be the sequence of primes."
"136","EP-954","Erdős Problem #954","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"137","EP-960","Erdős Problem #960","not_proved_no_reference_block","combinatorial_geometry","","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: Tur\'{a}n's theorem implies $ f_{r,k}(n) \leq \left(1-\frac{1}{r-1}\right)\frac{n^2}{2}+1."
"138","EP-963","Erdős Problem #963","not_proved_no_reference_block","general_combinatorics","","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"139","EP-1014","Erdős Problem #1014","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: This is open even for $k=3$."
"140","EP-891","Erdős Problem #891","not_proved_identified_gap","number_theory","1918","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Schinzel deduced from P\'{o}lya's theorem \cite{Po18} (that the sequence of $k$-smooth integers has unbounded gaps) that this is true with $p_1\cdots p_k$ replaced by $p_1\cdots p_{k-1}p_{k+1}$."
"141","EP-517","Erdős Problem #517","not_proved_identified_gap","general_combinatorics","1929","Tried direct contradiction and structural decomposition of the extremal case. Hard point: A conjecture of Fej\'{e}r and P\'{o}lya."
"142","EP-126","Erdős Problem #126","not_proved_identified_gap","number_theory","1934","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Investigated by Erdos and Tur\'{a}n \cite{ErTu34} (prompted by a question of L\'{a}z\'{a}r and Gr""{u}nwald) in their first joint paper, where they proved that $ \log n \ll f(n) \ll n/\log n $ (the up…"
"143","EP-851","Erdős Problem #851","not_proved_identified_gap","number_theory","1934","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Romanoff \cite{Ro34} proved that the set of integers of the form $2^k+p$ (where $p$ is prime) has positive lower density."
"144","EP-415","Erdős Problem #415","not_proved_identified_gap","additive_combinatorics","1936","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Erdos \cite{Er36b} proved that $ F(n)\asymp \log\log\log n, $ and similarly if we replace $\phi$ with $\sigma$ or $\tau$ or $ u$ or any 'decent' additive or multiplicative function."
"145","EP-452","Erdős Problem #452","not_proved_identified_gap","number_theory","1937","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos \cite{Er37} proved that the density of integers $n$ with $\omega(n)>\log\log n$ is $1/2$."
"146","EP-979","Erdős Problem #979","not_proved_identified_gap","number_theory","1937","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos \cite{Er37b} proved this is true when $k=2$, and also when $k=3$ (but this proof appears to be unpublished)."
"147","EP-38","Erdős Problem #38","not_proved_identified_gap","additive_combinatorics","1942","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Erdos \cite{Er36c} proved that if $B$ is an additive basis of order $k$ then, for any set $A$ of Schnirelmann density $\alpha$, for every $N$ there exists some integer $b\in B$ such that $ \lvert (A\…"
"148","EP-972","Erdős Problem #972","not_proved_identified_gap","number_theory","1948","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Vinogradov \cite{Vi48} proved that the sequence $\{p\alpha\}$ is uniformly distributed for every irrational $\alpha$, and hence there are infinitely many primes $p$ of the shape $p=\lfloor n\alpha\rf…"
"149","EP-1049","Erdős Problem #1049","not_proved_identified_gap","number_theory","1948","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: A conjecture of Chowla."
"150","EP-238","Erdős Problem #238","not_proved_identified_gap","number_theory","1949","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos \cite{Er49c} proved this is true for any $c_2>0$ if $c_1>0$ is sufficiently small (depending on $c_1$)."
"151","EP-971","Erdős Problem #971","not_proved_identified_gap","number_theory","1949","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: He also proved that, for any $\epsilon>0$, $ p(a,d)< \epsilon \phi(d)\log d $ for $\gg_\epsilon \phi(d)$ many values of $a$."
"152","EP-990","Erdős Problem #990","not_proved_identified_gap","general_combinatorics","1950","Tried direct contradiction and structural decomposition of the extremal case. Hard point: Erdos and Tur\'{a}n \cite{ErTu50} proved such an upper bound with $n$ replaced by $d$."
"153","EP-992","Erdős Problem #992","not_proved_identified_gap","number_theory","1950","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos and Koksma \cite{ErKo49} and Cassels \cite{Ca50} independently proved that, for any sequence $x_i$ and almost all $\alpha$, the discrepancy satisfies $ D(N)\ll N^{1/2}(\log N)^{5/2+o(1)}."
"154","EP-725","Erdős Problem #725","not_proved_identified_gap","general_combinatorics","1951","Tried direct contradiction and structural decomposition of the extremal case. Hard point: Erdos and Kaplansky \cite{ErKa46} proved the count is $ \sim e^{-\binom{k}{2}}(n!)^k $ when $k=o((\log n)^{3/2-\epsilon})$."
"155","EP-486","Erdős Problem #486","not_proved_identified_gap","number_theory","1951","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Davenport and Erdos \cite{DaEr36} proved that the answer is yes when $X_n=\{0\}$ for all $n\in A$."
"156","EP-524","Erdős Problem #524","not_proved_identified_gap","analysis_probability","1954","Tried analytic/probabilistic reformulation to isolate a quantitative threshold. Hard point: turning heuristic concentration into a provable global estimate."
"157","EP-573","Erdős Problem #573","not_proved_identified_gap","graph_theory","1954","Tried probabilistic construction and extremal counting inequalities. Hard point: A problem of Erdos and Simonovits, who proved that $ \mathrm{ex}(n;\{C_4,C_5\})=(n/2)^{3/2}+O(n)."
"158","EP-326","Erdős Problem #326","not_proved_identified_gap","additive_combinatorics","1957","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Erdos originally asked whether this was true with $A=B$, but this was disproved by Cassels \cite{Ca57}."
"159","EP-650","Erdős Problem #650","not_proved_identified_gap","number_theory","1959","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos and Sar\'{a}nyi \cite{ErSa59} proved that $f(m)\gg m^{1/2}$."
"160","EP-709","Erdős Problem #709","not_proved_identified_gap","number_theory","1959","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: A problem of Erdos and Sur\'{a}nyi \cite{ErSu59}, who proved $ (\log n)^c \ll f(n) \ll n^{1/2} $ for some constant $c>0$."
"161","EP-254","Erdős Problem #254","not_proved_identified_gap","number_theory","1960","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Cassels \cite{Ca60} proved this under the alternative hypotheses $ \lim \frac{\lvert A\cap [1,2x]\rvert -\lvert A\cap [1,x]\rvert}{\log\log x}=\infty $ and $ \sum_{n\in A} \{ \theta n\}^2=\infty $ fo…"
"162","EP-404","Erdős Problem #404","not_proved_identified_gap","number_theory","1960","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"163","EP-1002","Erdős Problem #1002","not_proved_identified_gap","number_theory","1960","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Kesten \cite{Ke60} proved that if $ f(\alpha,\beta,n)=\frac{1}{\log n}\sum_{1\leq k\leq n}(\tfrac{1}{2}-\{\beta+\alpha k\}) $ then $f(\alpha,\beta,n)$ has asymptotic distribution function $ g(c)=\fra…"
"164","EP-968","Erdős Problem #968","not_proved_identified_gap","additive_combinatorics","1961","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Erdos and Prachar \cite{ErPr61} proved that $ \sum_{p_n<x} \lvert u_{n+1}-u_n\rvert \asymp (\log x)^2, $ and that the set of $n$ such that $u_n>u_{n+1}$ has positive density."
"165","EP-1038","Erdős Problem #1038","not_proved_identified_gap","analysis_probability","1961","Tried analytic/probabilistic reformulation to isolate a quantitative threshold. Hard point: A problem of Erdos, Herzog, and Piranian \cite{EHP58}, who proved that the measure of the set in question is always at most $2\sqrt{2}$ under the assumption that all the roots are in $\{-1,1\}$, and …"
"166","EP-1132","Erdős Problem #1132","not_proved_identified_gap","general_combinatorics","1961","Tried direct contradiction and structural decomposition of the extremal case. Hard point: A result of Bernstein \cite{Be31} implies that the set of $x\in(-1,1)$ for which $ \limsup_{n\to \infty}\frac{L_n(x)}{\log n}\geq \frac{2}{\pi} $ is everywhere dense."
"167","EP-533","Erdős Problem #533","not_proved_identified_gap","graph_theory","1962","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"168","EP-282","Erdős Problem #282","not_proved_identified_gap","number_theory","1964","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"169","EP-349","Erdős Problem #349","not_proved_identified_gap","additive_combinatorics","1964","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: L., On a conjecture of Erdos in additive number theory."
"170","EP-1075","Erdős Problem #1075","not_proved_identified_gap","graph_theory","1964","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos \cite{Er64f} proved that this is true with $c_r=r^{-r}$ whenever the graph has at least $\epsilon n^r$ many edges."
"171","EP-513","Erdős Problem #513","not_proved_identified_gap","analysis_probability","1964","Tried analytic/probabilistic reformulation to isolate a quantitative threshold. Hard point: M., A note on entire functions and a conjecture of Erdos."
"172","EP-995","Erdős Problem #995","not_proved_identified_gap","number_theory","1964","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: $ Erdos also proved that, for every lacunary sequence and $f\in L^2$, for every $\epsilon>0$, for almost all $\alpha$, $ \sum_{1\leq k\leq N}\sum_{1\leq k\leq N}f(\{\alpha n_k\})=o( N(\log N)^{\frac{…"
"173","EP-543","Erdős Problem #543","not_proved_identified_gap","analysis_probability","1965","Tried analytic/probabilistic reformulation to isolate a quantitative threshold. Hard point: Erdos and R\'{e}nyi \cite{ErRe65} proved that $ f(N) \leq \log_2N+O(\log\log N)."
"174","EP-562","Erdős Problem #562","not_proved_identified_gap","graph_theory","1965","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"175","EP-786","Erdős Problem #786","not_proved_identified_gap","number_theory","1965","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: In \cite{Er65} Erdos reports that Ruzsa proved the maximal size of such an $A$ is $\leq (1-c)N$ for some constant $c>0$ for large $N$, but the proof 'is not yet published'."
"176","EP-962","Erdős Problem #962","not_proved_identified_gap","number_theory","1965","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos \cite{Er65} wrote it is 'not hard to prove' that $ k(n)\gg_\epsilon \exp((\log n)^{1/2-\epsilon}) $ and it 'seems likely' that $k(n)=o(n^\epsilon)$, but had no non-trivial upper bound for $k(n)…"
"177","EP-902","Erdős Problem #902","not_proved_identified_gap","graph_theory","1965","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos \cite{Er63c} proved $ 2^{n+1}-1 \leq f(n) \ll n^22^n."
"178","EP-281","Erdős Problem #281","not_proved_identified_gap","number_theory","1966","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: The latter condition is clearly sufficient, the problem is if it's also necessary."
"179","EP-714","Erdős Problem #714","not_proved_identified_gap","graph_theory","1966","Tried probabilistic construction and extremal counting inequalities. Hard point: K""{o}v\'{a}ri, S\'{o}s, and Tur\'{a}n \cite{KST54} proved $ \mathrm{ex}(n; K_{r,r}) \ll n^{2-1/r} $ for all $r\geq 2$."
"180","EP-996","Erdős Problem #996","not_proved_identified_gap","number_theory","1966","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Raikov proved the conclusion always holds (for every $f\in L^2([0,1])$, with no assumption on $\| f-f_n\|_2$) if $n_k=a^k$ for some integer $a\geq 2$."
"181","EP-890","Erdős Problem #890","not_proved_identified_gap","number_theory","1967","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: This follows from P\'{o}lya's theorem that the set of $k$-smooth integers has unbounded gaps - indeed, $n(n+1)\cdots (n+k-1)$ is divisible by all primes $\leq k$ and, provided $n$ is large, all but a…"
"182","EP-1133","Erdős Problem #1133","not_proved_identified_gap","general_combinatorics","1967","Tried direct contradiction and structural decomposition of the extremal case. Hard point: Erdos proved that, for any $C>0$, there exists $\epsilon>0$ such that if $n$ is sufficiently large and $m=\lfloor (1+\epsilon)n\rfloor$ then for any $x_1,\ldots,x_m\in [-1,1]$ there is a polynomial $…"
"183","EP-627","Erdős Problem #627","not_proved_identified_gap","graph_theory","1967","Tried probabilistic construction and extremal counting inequalities. Hard point: Tutte and Zykov \cite{Zy52} independently proved that for every $k$ there is a graph with $\omega(G)=2$ and $\chi(G)=k$."
"184","EP-624","Erdős Problem #624","not_proved_identified_gap","general_combinatorics","1968","Tried direct contradiction and structural decomposition of the extremal case. Hard point: A problem of Erdos and Hajnal \cite{ErHa68} who proved that $ \log_2 n \leq H(n) < \log_2n +(3+o(1))\log_2\log_2n."
"185","EP-1013","Erdős Problem #1013","not_proved_identified_gap","graph_theory","1968","Tried probabilistic construction and extremal counting inequalities. Hard point: Graver and Yackel \cite{GrYa68} proved $ h_3(k)\gg \frac{\log k}{\log\log k}k^2."
"186","EP-1022","Erdős Problem #1022","not_proved_identified_gap","graph_theory","1968","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos originally conjectured, in this language, that $c_2=1$, which was proved by Lov\'{a}sz \cite{Lo68}."
"187","EP-858","Erdős Problem #858","not_proved_identified_gap","additive_combinatorics","1968","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Alexander \cite{Al66} and Erdos, S\'{a}rk""{o}zi, and Szemer\'{e}di \cite{ESS68} proved that this maximum is $o(1)$ (as $N\to \infty$)."
"188","EP-892","Erdős Problem #892","not_proved_identified_gap","additive_combinatorics","1968","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: It is known that $ \sum \frac{1}{b_n\log b_n}<\infty $ and $ \sum_{b_n<x}\frac{1}{b_n} =o\left(\frac{\log x}{\sqrt{\log\log x}}\right) $ are both necessary."
"189","EP-918","Erdős Problem #918","not_proved_identified_gap","graph_theory","1969","Tried probabilistic construction and extremal counting inequalities. Hard point: A question of Erdos and Hajnal \cite{ErHa68b}, who proved that for every finite $k$ there is a graph with chromatic number $\aleph_1$ where each subgraph on less than $\aleph_k$ vertices has chromati…"
"190","EP-919","Erdős Problem #919","not_proved_identified_gap","graph_theory","1969","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"191","EP-793","Erdős Problem #793","not_proved_identified_gap","graph_theory","1969","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos \cite{Er38} proved there exist constants $0<c_1\leq c_2$ such that $ \pi(n)+c_1n^{2/3}(\log n)^{-2}\leq F(n) \leq \pi(n)+c_2n^{2/3}(\log n)^{-2}."
"192","EP-796","Erdős Problem #796","not_proved_identified_gap","graph_theory","1969","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos \cite{Er64d} proved that if $2^{r-1}<k\leq 2^r$ then $ g_k(n) \sim \frac{(\log\log n)^{r-1}}{(r-1)!\log n}n $ (which is the asymptotic count of those integers $\leq n$ with $r$ distinct prime f…"
"193","EP-859","Erdős Problem #859","not_proved_identified_gap","number_theory","1970","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos \cite{Er70} proved that $d_t$ always exists, and that there exist some constants $c_3,c_4>0$ such that $ \frac{1}{(\log t)^{c_3}} < d_t < \frac{1}{(\log t)^{c_4}}."
"194","EP-983","Erdős Problem #983","not_proved_identified_gap","number_theory","1970","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos and Straus \cite{Er70b} proved that $ f(\pi(n)+1,n)=2\pi(n^{1/2})+o_A\left(\frac{n^{1/2}}{(\log n)^A}\right) $ for any $A>0$ and, for any constant $1>c>0$, $ f(cn,n)=\log\log n+(c_1+o(1))\sqrt{…"
"195","EP-535","Erdős Problem #535","not_proved_identified_gap","number_theory","1970","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos \cite{Er64} proved that $ f_r(N) \leq N^{\frac{3}{4}+o(1)}, $ and Abbott and Hanson \cite{AbHa70} improved this exponent to $1/2$."
"196","EP-536","Erdős Problem #536","not_proved_identified_gap","general_combinatorics","1970","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"197","EP-295","Erdős Problem #295","not_proved_identified_gap","general_combinatorics","1971","Tried direct contradiction and structural decomposition of the extremal case. Hard point: Erdos and Straus \cite{ErSt71b} have proved the existence of some constant $c>0$ such that $ -c < k(N)-(e-1)N \ll \frac{N}{\log N}."
"198","EP-1087","Erdős Problem #1087","not_proved_identified_gap","combinatorial_geometry","1971","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: A question of Erdos and Purdy \cite{ErPu71}, who proved $ n^3\log n \ll f(n) \ll n^{7/2}."
"199","EP-258","Erdős Problem #258","not_proved_identified_gap","number_theory","1971","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos and Straus \cite{ErSt71} proved this is true if $a_n$ is monotone, i.e."
"200","EP-176","Erdős Problem #176","not_proved_identified_gap","additive_combinatorics","1973","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Spencer \cite{Sp73} has proved that if $k=2^tm$ with $m$ odd then $ N(k,1)=2^t(k-1)+1."
"201","EP-1040","Erdős Problem #1040","not_proved_identified_gap","combinatorial_geometry","1973","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: Erdos and Netanyahu \cite{ErNe73} proved that if $F$ is also bounded and connected, with transfinite diameter $0<c<1$, then $\{ z: \lvert f(z)\rvert < 1\}$ always contains a disc of radius $\gg_c 1$."
"202","EP-469","Erdős Problem #469","not_proved_identified_gap","number_theory","1974","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"203","EP-669","Erdős Problem #669","not_proved_identified_gap","combinatorial_geometry","1974","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: Burr, Gr""{u}nbaum, and Sloane \cite{BGS74} have proved that $ f_3(n)=\frac{n^2}{6}-O(n) $ and $ F_3(n)=\frac{n^2}{6}-O(n)."
"204","EP-820","Erdős Problem #820","not_proved_identified_gap","number_theory","1974","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos \cite{Er74b} proved that there exists a constant $c>0$ such that $ H(n) > \exp(n^{c/(\log\log n)^2}) $ for infinitely many $n$."
"205","EP-1120","Erdős Problem #1120","not_proved_identified_gap","general_combinatorics","1974","Tried direct contradiction and structural decomposition of the extremal case. Hard point: The trivial lower bound for the length of this path is $1$, which is achieved for $f(z)=z^n$."
"206","EP-509","Erdős Problem #509","not_proved_identified_gap","general_combinatorics","1974","Tried direct contradiction and structural decomposition of the extremal case. Hard point: Cartan proved this is true with $2$ replaced by $2e$, which was improved to $2.59$ by Pommerenke \cite{Po61}."
"207","EP-789","Erdős Problem #789","not_proved_identified_gap","analysis_probability","1974","Tried analytic/probabilistic reformulation to isolate a quantitative threshold. Hard point: Erdos \cite{Er62c} proved $h(n) \ll n^{5/6}$."
"208","EP-961","Erdős Problem #961","not_proved_identified_gap","number_theory","1974","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Sylvester and Schur (see \cite{Er34}) proved $f(k)\leq k$ and Erdos \cite{Er55d} proved $ f(k)<3\frac{k}{\log k}."
"209","EP-987","Erdős Problem #987","not_proved_identified_gap","number_theory","1974","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Clunie \cite{Cl67} proved that $A_k\gg k^{1/2}$ infinitely often, and that there exist sequences with $A_k\leq k$ for all $k$."
"210","EP-593","Erdős Problem #593","not_proved_identified_gap","graph_theory","1975","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"211","EP-726","Erdős Problem #726","not_proved_identified_gap","number_theory","1975","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: A conjecture of Erdos, Graham, Ruzsa, and Straus \cite{EGRS75}."
"212","EP-730","Erdős Problem #730","not_proved_identified_gap","number_theory","1975","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: It is not known whether there are such pairs of the shape $(n,n+k)$ for every $k\geq 1$."
"213","EP-731","Erdős Problem #731","not_proved_identified_gap","number_theory","1975","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"214","EP-836","Erdős Problem #836","not_proved_identified_gap","graph_theory","1975","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos and Lov\'{a}sz \cite{ErLo75} proved that there must be two edges which meet in $\gg \frac{r}{\log r}$ many vertices."
"215","EP-865","Erdős Problem #865","not_proved_identified_gap","additive_combinatorics","1975","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Erdos and S\'{o}s conjectured that $ f_k(N)\sim \frac{1}{2}\left(1+\sum_{1\leq r\leq k-2}\frac{1}{4^r}\right) N, $ and a similar example shows that this would be best possible."
"216","EP-930","Erdős Problem #930","not_proved_identified_gap","number_theory","1975","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos and Selfridge \cite{ErSe75} proved that the product of consecutive integers is never a power (establishing the case $r=1$)."
"217","EP-201","Erdős Problem #201","not_proved_identified_gap","additive_combinatorics","1975","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"218","EP-595","Erdős Problem #595","not_proved_identified_gap","graph_theory","1975","Tried probabilistic construction and extremal counting inequalities. Hard point: Folkman \cite{Fo70} and Ne\v{s}et\v{r}il and R""{o}dl \cite{NeRo75} have proved that for every $n\geq 1$ there is a graph $G$ which contains no $K_4$ and is not the union of $n$ triangle-free graphs."
"219","EP-660","Erdős Problem #660","not_proved_identified_gap","combinatorial_geometry","1975","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: For the similar problem in $\mathbb{R}^2$ there are always at least $n/2$ distances, as proved by Altman \cite{Al63} (see [93])."
"220","EP-1088","Erdős Problem #1088","not_proved_identified_gap","combinatorial_geometry","1975","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: Erdos \cite{Er75f} claimed that he and Straus proved $f_d(n)\leq c_n^d$ for some constant $c_n>0$."
"221","EP-1089","Erdős Problem #1089","not_proved_identified_gap","combinatorial_geometry","1975","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: Erdos and Straus proved (in unpublished work mentioned in \cite{Er75f}) that $ g_d(n) \leq c^{d^{1-b_n}} $ for some constants $c>0$ and $b_n>0$."
"222","EP-727","Erdős Problem #727","not_proved_identified_gap","number_theory","1975","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: A conjecture of Erdos, Graham, Ruzsa, and Straus \cite{EGRS75}."
"223","EP-790","Erdős Problem #790","not_proved_identified_gap","additive_combinatorics","1975","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Erdos observed that $l(n)\geq (n/2)^{1/2}$, which Choi improved to $l(n)>(1+c)n^{1/2}$ for some $c>0$."
"224","EP-173","Erdős Problem #173","not_proved_identified_gap","graph_theory","1976","Tried probabilistic construction and extremal counting inequalities. Hard point: Shader \cite{Sh76} has proved this is true if we just consider a single right-angled triangle."
"225","EP-455","Erdős Problem #455","not_proved_identified_gap","number_theory","1976","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Richter \cite{Ri76} proved that $ \liminf_n \frac{q_n}{n^2}>0.352\cdots."
"226","EP-321","Erdős Problem #321","not_proved_identified_gap","general_combinatorics","1976","Tried direct contradiction and structural decomposition of the extremal case. Hard point: (In these bounds $\log_in$ denotes the $i$-fold iterated logarithm.) See also [320]."
"227","EP-933","Erdős Problem #933","not_proved_identified_gap","number_theory","1976","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Mahler proved (a more general result that implies in particular) that $ 2^k3^l<n^{1+o(1)}."
"228","EP-935","Erdős Problem #935","not_proved_identified_gap","number_theory","1976","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: A result of Mahler implies, for every $\ell\geq 1$, $ \limsup_{n\to \infty}\frac{Q_2(n(n+1)\cdots(n+\ell))}{n^2}\geq 1."
"229","EP-168","Erdős Problem #168","not_proved_identified_gap","additive_combinatorics","1977","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: This limit was proved to exist by Graham, Spencer, and Witsenhausen \cite{GSW77}, who showed it is equal to $ \frac{1}{3}\sum_{k\in K}\frac{1}{d_k}, $ where $d_1<d_2<\cdots $are the $3$-smooth number…"
"230","EP-196","Erdős Problem #196","not_proved_identified_gap","additive_combinatorics","1977","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"231","EP-550","Erdős Problem #550","not_proved_identified_gap","graph_theory","1977","Tried probabilistic construction and extremal counting inequalities. Hard point: Chv\'{a}tal \cite{Ch77} proved that $R(T,K_m)=(m-1)(n-1)+1$."
"232","EP-359","Erdős Problem #359","not_proved_identified_gap","number_theory","1977","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Andrews conjectures $ a_k\sim \frac{k\log k}{\log\log k}."
"233","EP-423","Erdős Problem #423","not_proved_identified_gap","number_theory","1977","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Bolan and Tang have independently proved that there are infinitely many integers which do not appear in this sequence."
"234","EP-952","Erdős Problem #952","not_proved_identified_gap","number_theory","1977","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: In \cite{Er77c} Erdos recalls: 'The conjecture was told me by Motzkin at the Pasadena number theory meeting 1963 November and it was apparently raised by Basil Gordon and Motzkin."
"235","EP-953","Erdős Problem #953","not_proved_identified_gap","combinatorial_geometry","1977","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: The trivial upper bound is $O(r)$."
"236","EP-561","Erdős Problem #561","not_proved_identified_gap","graph_theory","1978","Tried probabilistic construction and extremal counting inequalities. Hard point: Burr, Erdos, Faudree, Rousseau, and Schelp \cite{BEFRS78} proved this when all the $n_i$ are identical and all the $m_i$ are identical."
"237","EP-838","Erdős Problem #838","not_proved_identified_gap","combinatorial_geometry","1978","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: Erdos proved in \cite{Er78c} that there exist constants $c_1,c_2>0$ such that $ n^{c_1\log n}<f(n)< n^{c_2\log n}."
"238","EP-159","Erdős Problem #159","not_proved_identified_gap","graph_theory","1978","Tried probabilistic construction and extremal counting inequalities. Hard point: The current bounds are $ \frac{n^{3/2}}{(\log n)^{3/2}}\ll R(C_4,K_n)\ll \frac{n^2}{(\log n)^2}."
"239","EP-600","Erdős Problem #600","not_proved_identified_gap","graph_theory","1978","Tried probabilistic construction and extremal counting inequalities. Hard point: Ruzsa and Szemer\'{e}di \cite{RuSz78} proved that $e(n,r)=o(n^2)$ for any fixed $r$."
